location_name,value,method,filename
小学,"(14, 0, 0)",patch,13_SZTULJK_HSF
小学,"(15, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(16, 0, 0)",patch,13_SZTULJK_HSF
小学,"(16, 0, 0)",patch,13_SZTULJK_HSF
幼儿园,"(16, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(19, 0, 0)",patch,13_SZTULJK_HSF
小学,"(25, 0, 0)",patch,13_SZTULJK_HSF
小学,"(26, 0, 0)",patch,13_SZTULJK_HSF
小学,"(27, 0, 0)",patch,13_SZTULJK_HSF
1号线,"(28, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(28, 0, 0)",patch,13_SZTULJK_HSF
小学,"(29, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(36, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(40, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(43, 0, 0)",patch,13_SZTULJK_HSF
小学,"(45, 0, 0)",patch,13_SZTULJK_HSF
小学,"(46, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(47, 0, 0)",patch,13_SZTULJK_HSF
1号线,"(52, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(52, 0, 0)",patch,13_SZTULJK_HSF
少年宫,"(52, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(53, 0, 0)",patch,13_SZTULJK_HSF
1号线,"(54, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(54, 0, 0)",patch,13_SZTULJK_HSF
世界之窗,"(54, 0, 0)",patch,13_SZTULJK_HSF
机场,"(54, 0, 0)",patch,13_SZTULJK_HSF
小学,"(56, 0, 0)",patch,13_SZTULJK_HSF
小学,"(57, 0, 0)",patch,13_SZTULJK_HSF
小学,"(58, 0, 0)",patch,13_SZTULJK_HSF
小学,"(59, 0, 0)",patch,13_SZTULJK_HSF
小学,"(62, 0, 0)",patch,13_SZTULJK_HSF
小学,"(65, 0, 0)",patch,13_SZTULJK_HSF
小学,"(66, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(67, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(68, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(69, 0, 0)",patch,13_SZTULJK_HSF
建设,"(79, 0, 0)",patch,13_SZTULJK_HSF
建设,"(80, 0, 0)",patch,13_SZTULJK_HSF
建设,"(83, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(91, 0, 0)",patch,13_SZTULJK_HSF
建设,"(91, 0, 0)",patch,13_SZTULJK_HSF
建设,"(97, 0, 0)",patch,13_SZTULJK_HSF
机场,"(101, 0, 0)",patch,13_SZTULJK_HSF
会展中心,"(124, 0, 0)",patch,13_SZTULJK_HSF
小学,"(124, 0, 0)",patch,13_SZTULJK_HSF
购物公园,"(124, 0, 0)",patch,13_SZTULJK_HSF
少年宫,"(131, 0, 0)",patch,13_SZTULJK_HSF
市中心,"(135, 0, 0)",patch,13_SZTULJK_HSF
世界之窗,"(141, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(153, 0, 0)",patch,13_SZTULJK_HSF
建设,"(159, 0, 0)",patch,13_SZTULJK_HSF
图书馆,"(161, 0, 0)",patch,13_SZTULJK_HSF
图书馆,"(162, 0, 0)",patch,13_SZTULJK_HSF
3号线,"(167, 0, 0)",patch,13_SZTULJK_HSF
世界之窗,"(167, 0, 0)",patch,13_SZTULJK_HSF
机场,"(167, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(168, 0, 0)",patch,13_SZTULJK_HSF
中村,"(169, 0, 0)",patch,13_SZTULJK_HSF
南科大,"(169, 0, 0)",patch,13_SZTULJK_HSF
大学城,"(169, 0, 0)",patch,13_SZTULJK_HSF
建设,"(172, 0, 0)",patch,13_SZTULJK_HSF
花园,"(172, 0, 0)",patch,13_SZTULJK_HSF
华侨城,"(178, 0, 0)",patch,13_SZTULJK_HSF
益田假日,"(179, 0, 0)",patch,13_SZTULJK_HSF
楼下,"(185, 0, 0)",patch,13_SZTULJK_HSF
1号线,"(196, 0, 0)",patch,13_SZTULJK_HSF
机场,"(196, 0, 0)",patch,13_SZTULJK_HSF
Cocopark,"(206, 0, 0)",patch,13_SZTULJK_HSF
欢乐海岸,"(206, 0, 0)",patch,13_SZTULJK_HSF
3号线,"(214, 0, 0)",patch,13_SZTULJK_HSF
高峰,"(214, 0, 0)",patch,13_SZTULJK_HSF
3号线,"(219, 0, 0)",patch,13_SZTULJK_HSF
小学,"(225, 0, 0)",patch,13_SZTULJK_HSF
会展中心,"(231, 0, 0)",patch,13_SZTULJK_HSF
少年宫,"(231, 0, 0)",patch,13_SZTULJK_HSF
4号线,"(233, 0, 0)",patch,13_SZTULJK_HSF
会展中心,"(233, 0, 0)",patch,13_SZTULJK_HSF
3号线,"(238, 0, 0)",patch,13_SZTULJK_HSF
3号线,"(259, 0, 0)",patch,13_SZTULJK_HSF
东部,"(266, 0, 0)",patch,13_SZTULJK_HSF
