location_name,alias,method
107国道,,patch
11号线,十一号线,patch
13号线,十三号线,patch
14号线,十四号线,patch
16号线,十六号线,patch
1号线,一号线,patch
27国道,,patch
3号线,三号线,patch
4号线,四号线,patch
7号线,七号线,patch
Cocopark,cocopark,patch
百鸽笼,,patch
百花,,patch
宝安中心区,,patch
宝龙科技园,,patch
北京大学深圳医院,北大深圳医院 北大医院,patch
碧头,,patch
滨海之窗,,patch
布吉站,,patch
城中村,,patch
大芬油画村,,patch
大剧院,,patch
大梅沙,,patch
大小梅沙,,patch
大小梧桐山,,patch
大学城,,patch
大运站,,patch
地铁商城,,patch
地王大厦,帝王大厦,patch
第四工业区,,patch
东部,,patch
东部华侨城,,patch
东二市场,,patch
东门,,patch
东站,,patch
儿童医院,,patch
福龙快递路,福龙快速路,patch
福田,,patch
福田城区,,patch
福田口岸,,patch
福田站,,patch
福田中心,,patch
福州南站,,patch
富士康,,patch
岗厦,,patch
岗厦北,,patch
港口,,patch
高新园地铁站,,patch
公交总站,,patch
购物公园,,patch
关内,,patch
关外,,patch
观澜湖,,patch
光明科学城,,patch
光明区,光明新区 光明,patch
桂园中学,,patch
海岸城,,patch
海上世界,,patch
红山,,patch
红树林站,,patch
华侨城,,patch
欢乐谷,,patch
欢乐海岸,,patch
皇岗口岸,,patch
黄贝,,patch
黄木岗站,,patch
会展中心,,patch
会展中心皇庭广场出入口,,patch
会展中心站,,patch
机场,,patch
机场北,,patch
锦绣中华,,patch
景田站,,patch
科学馆,,patch
科学馆站,,patch
客家博物馆,,patch
空港新城,,patch
莲塘街道,,patch
龙岗中心城,,patch
龙光玖钻,,patch
罗宝线,,patch
罗湖城区,,patch
罗湖口岸,,patch
梅林关,,patch
民俗文化村,,patch
民治,明治,patch
民治街道办,,patch
南科大,,patch
南联站,,patch
南山体育中心,,patch
南山中心,,patch
牛地埔,,patch
牛湖,,patch
平湖街道,,patch
平湖中学,,patch
坪山中心站,,patch
清湖,,patch
人民桥站,,patch
荣超花园站,,patch
三和,,patch
三周田水库,三周音水库,patch
厦门地铁,,patch
山水田园,,patch
汕头合作区,,patch
上梅林,,patch
少年宫,,patch
深惠交界,,patch
深圳北站,北站 深圳北,patch
深圳机场,,patch
湿地公园,,patch
世界之窗,,patch
市民中心,,patch
市民中心站,,patch
市中心,,patch
守正楼,,patch
孙逸仙心脑血管医院,,patch
泰然工业区,,patch
体育馆,,patch
体育馆站,,patch
天安数码,,patch
听湖,,patch
图书馆,,patch
玩具加工厂,玩具厂,patch
万科金色家园,,patch
万象天地,,patch
文化村,,patch
文锦渡口岸,,patch
五和,,patch
五和站,,patch
五联口,,patch
西部,,patch
西丽,,patch
下梅林,,patch
小学,,patch
新华宾馆站,,patch
新生,,patch
新生村,,patch
燕南地铁站,,patch
益田,,patch
益田假日,,patch
邮局,,patch
幼儿园,,patch
元平特殊学校,,patch
粤港澳大湾区画展,,patch
粤海,,patch
粤海街道,,patch
长湖,,patch
中心城,,patch
中心公园,,patch
中心区,,patch
中英街,,patch
城中村,,patch
