location_name,value,count,filename
东莞,"[(69, 55, 56), (161, 37, 38), (204, 92, 93)]",3,9_SZUCJH_发哥
光明,"[(117, 36, 37), (164, 30, 31), (195, 34, 35), (204, 58, 59)]",4,9_SZUCJH_发哥
公明,"[(164, 27, 28)]",1,9_SZUCJH_发哥
华强北,"[(54, 26, 27)]",1,9_SZUCJH_发哥
南山,"[(64, 19, 20), (68, 19, 20), (204, 35, 36)]",3,9_SZUCJH_发哥
宝安,"[(66, 41, 42), (188, 33, 34), (195, 30, 31), (204, 38, 39)]",4,9_SZUCJH_发哥
宝安区,"[(164, 21, 22)]",1,9_SZUCJH_发哥
布吉,"[(66, 30, 31), (195, 27, 28), (205, 14, 15), (210, 30, 31), (210, 38, 39)]",5,9_SZUCJH_发哥
广州,"[(212, 6, 7), (214, 14, 15), (214, 19, 20), (214, 36, 37), (218, 2, 3)]",5,9_SZUCJH_发哥
惠州,"[(69, 57, 58), (161, 39, 40)]",2,9_SZUCJH_发哥
松岗,"[(164, 24, 25), (204, 61, 62)]",2,9_SZUCJH_发哥
横岗,"[(20, 11, 12), (26, 24, 25), (28, 22, 23), (42, 6, 7), (42, 11, 12), (54, 14, 15), (234, 11, 12), (235, 3, 4)]",8,9_SZUCJH_发哥
深圳,"[(9, 9, 10), (10, 5, 6), (17, 8, 9), (23, 23, 24), (25, 7, 8), (54, 18, 19), (57, 21, 22), (57, 30, 31), (58, 24, 25), (59, 9, 10), (59, 11, 12), (60, 44, 45), (62, 20, 21), (63, 12, 13), (66, 14, 15), (68, 10, 11), (69, 4, 5), (69, 53, 54), (76, 7, 8), (78, 11, 12), (124, 31, 32), (125, 13, 14), (125, 34, 35), (145, 12, 13), (169, 2, 3), (192, 6, 7), (194, 14, 15), (201, 17, 18), (201, 23, 24), (204, 3, 4), (204, 49, 50), (206, 32, 33), (208, 18, 19), (218, 23, 24)]",34,9_SZUCJH_发哥
深圳市,"[(70, 29, 30), (81, 33, 34), (124, 6, 7), (124, 17, 18), (206, 8, 9), (208, 7, 8), (227, 26, 27)]",7,9_SZUCJH_发哥
清湖,"[(111, 29, 30)]",1,9_SZUCJH_发哥
福田,"[(64, 25, 26), (64, 35, 36), (68, 21, 22), (204, 19, 20)]",4,9_SZUCJH_发哥
罗湖,"[(64, 22, 23), (64, 37, 38), (68, 23, 24), (68, 25, 26), (204, 22, 23)]",5,9_SZUCJH_发哥
西乡,"[(66, 44, 45), (117, 30, 31), (188, 35, 36), (204, 40, 41)]",4,9_SZUCJH_发哥
观澜,"[(71, 11, 12), (72, 3, 4), (99, 11, 12), (111, 18, 19), (204, 78, 79)]",5,9_SZUCJH_发哥
观澜龙,"[(204, 74, 75)]",1,9_SZUCJH_发哥
黎光,"[(99, 13, 14)]",1,9_SZUCJH_发哥
龙华,"[(18, 11, 12), (18, 19, 20), (25, 31, 32), (26, 34, 35), (29, 6, 7), (66, 36, 37), (70, 5, 6), (70, 10, 11), (78, 25, 26), (78, 39, 40), (111, 8, 9), (165, 25, 26), (188, 30, 31), (195, 21, 22), (204, 72, 73), (204, 76, 77), (235, 5, 6)]",17,9_SZUCJH_发哥
龙华区,"[(169, 25, 26)]",1,9_SZUCJH_发哥
龙华文化中心,"[(99, 19, 22)]",1,9_SZUCJH_发哥
龙华街道,"[(20, 24, 26)]",1,9_SZUCJH_发哥
龙岗,"[(18, 5, 6), (18, 7, 8), (25, 22, 23), (66, 25, 26), (78, 45, 46), (117, 22, 23), (164, 34, 35), (195, 24, 25), (205, 12, 13)]",9,9_SZUCJH_发哥
